m,k,n,type,ac_native,b_native,time_ns
128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,2803456
128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,1739764
128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,1136191
128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,857778
128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,1090525
128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,946152
128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,990193
128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,927193
128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,1023734
128,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,965985
128,64,128,RKNN_INT8_MM_INT8_TO_INT32,1,0,1226148
128,64,128,RKNN_INT8_MM_INT8_TO_INT32,1,1,1146523
128,64,128,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,1334645
128,64,128,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,1140982
128,64,128,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,1130190
128,64,128,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,1156440
128,64,128,RKNN_INT4_MM_INT4_TO_INT16,0,1,17516932
128,64,128,RKNN_INT4_MM_INT4_TO_INT16,1,1,1328521
128,64,256,RKNN_INT8_MM_INT8_TO_INT32,0,0,2318421
128,64,256,RKNN_INT8_MM_INT8_TO_INT32,0,1,1492435
128,64,256,RKNN_INT8_MM_INT8_TO_INT32,1,0,1710306
128,64,256,RKNN_INT8_MM_INT8_TO_INT32,1,1,1717015
128,64,256,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,2051260
128,64,256,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,1541143
128,64,256,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,1656932
128,64,256,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,1489518
128,64,256,RKNN_INT4_MM_INT4_TO_INT16,0,1,18610082
128,64,256,RKNN_INT4_MM_INT4_TO_INT16,1,1,3589777
128,64,512,RKNN_INT8_MM_INT8_TO_INT32,0,0,3292864
128,64,512,RKNN_INT8_MM_INT8_TO_INT32,0,1,4227059
128,64,512,RKNN_INT8_MM_INT8_TO_INT32,1,0,4673884
128,64,512,RKNN_INT8_MM_INT8_TO_INT32,1,1,1630100
128,64,512,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,2127966
128,64,512,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,4154727
128,64,512,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,3828064
128,64,512,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,1948886
128,64,512,RKNN_INT4_MM_INT4_TO_INT16,0,1,16812568
128,64,512,RKNN_INT4_MM_INT4_TO_INT16,1,1,3465237
128,64,1024,RKNN_INT8_MM_INT8_TO_INT32,0,0,3721650
128,64,1024,RKNN_INT8_MM_INT8_TO_INT32,0,1,4024353
128,64,1024,RKNN_INT8_MM_INT8_TO_INT32,1,0,5543913
128,64,1024,RKNN_INT8_MM_INT8_TO_INT32,1,1,3115534
128,64,1024,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,3753982
128,64,1024,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,4114477
128,64,1024,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,5639286
128,64,1024,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,2606001
128,64,1024,RKNN_INT4_MM_INT4_TO_INT16,0,1,20766922
128,64,1024,RKNN_INT4_MM_INT4_TO_INT16,1,1,4379140
128,64,2048,RKNN_INT8_MM_INT8_TO_INT32,0,0,7635422
128,64,2048,RKNN_INT8_MM_INT8_TO_INT32,0,1,4445805
128,64,2048,RKNN_INT8_MM_INT8_TO_INT32,1,0,11358196
128,64,2048,RKNN_INT8_MM_INT8_TO_INT32,1,1,4160560
128,64,2048,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,8226328
128,64,2048,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,7640671
128,64,2048,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,7229428
128,64,2048,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,5494913
128,64,2048,RKNN_INT4_MM_INT4_TO_INT16,0,1,24634070
128,64,2048,RKNN_INT4_MM_INT4_TO_INT16,1,1,9976301
128,64,4096,RKNN_INT8_MM_INT8_TO_INT32,0,0,8512949
128,64,4096,RKNN_INT8_MM_INT8_TO_INT32,0,1,16457907
128,64,4096,RKNN_INT8_MM_INT8_TO_INT32,1,0,20676216
128,64,4096,RKNN_INT8_MM_INT8_TO_INT32,1,1,12455721
128,64,4096,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,16186369
128,64,4096,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,6939515
128,64,4096,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,8405409
128,64,4096,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,10321045
128,64,4096,RKNN_INT4_MM_INT4_TO_INT16,0,1,27315319
128,64,4096,RKNN_INT4_MM_INT4_TO_INT16,1,1,8713113
128,64,8192,RKNN_INT8_MM_INT8_TO_INT32,0,0,12572385
128,64,8192,RKNN_INT8_MM_INT8_TO_INT32,0,1,19387653
128,64,8192,RKNN_INT8_MM_INT8_TO_INT32,1,0,23731376
128,64,8192,RKNN_INT8_MM_INT8_TO_INT32,1,1,17109772
128,64,8192,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,23577378
128,64,8192,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,18568832
128,64,8192,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,22029528
128,64,8192,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,18371793
128,64,8192,RKNN_INT4_MM_INT4_TO_INT16,0,1,41226724
128,64,8192,RKNN_INT4_MM_INT4_TO_INT16,1,1,9076524
128,128,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,1466769
128,128,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,1563600
128,128,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,1802763
128,128,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,1257647
128,128,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,978235
128,128,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,890153
128,128,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,957819
128,128,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,872944
128,128,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,1100150
128,128,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,968902
128,128,128,RKNN_INT8_MM_INT8_TO_INT32,1,0,1109774
128,128,128,RKNN_INT8_MM_INT8_TO_INT32,1,1,1018484
128,128,128,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,1140982
128,128,128,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,1070983
128,128,128,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,1206898
128,128,128,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,1096357
128,128,128,RKNN_INT4_MM_INT4_TO_INT16,0,1,15605379
128,128,128,RKNN_INT4_MM_INT4_TO_INT16,1,1,1738889
128,128,256,RKNN_INT8_MM_INT8_TO_INT32,0,0,2534252
128,128,256,RKNN_INT8_MM_INT8_TO_INT32,0,1,1586934
128,128,256,RKNN_INT8_MM_INT8_TO_INT32,1,0,2491085
128,128,256,RKNN_INT8_MM_INT8_TO_INT32,1,1,1973677
128,128,256,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,2200007
128,128,256,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,1878887
128,128,256,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,2498960
128,128,256,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,1910387
128,128,256,RKNN_INT4_MM_INT4_TO_INT16,0,1,15238176
128,128,256,RKNN_INT4_MM_INT4_TO_INT16,1,1,3329031
128,128,512,RKNN_INT8_MM_INT8_TO_INT32,0,0,4126435
128,128,512,RKNN_INT8_MM_INT8_TO_INT32,0,1,5259542
128,128,512,RKNN_INT8_MM_INT8_TO_INT32,1,0,6182361
128,128,512,RKNN_INT8_MM_INT8_TO_INT32,1,1,1927595
128,128,512,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,2951912
128,128,512,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,5704910
128,128,512,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,4166393
128,128,512,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,3372197
128,128,512,RKNN_INT4_MM_INT4_TO_INT16,0,1,16957525
128,128,512,RKNN_INT4_MM_INT4_TO_INT16,1,1,5964780
128,128,1024,RKNN_INT8_MM_INT8_TO_INT32,0,0,3708775
128,128,1024,RKNN_INT8_MM_INT8_TO_INT32,0,1,2539502
128,128,1024,RKNN_INT8_MM_INT8_TO_INT32,1,0,2827372
128,128,1024,RKNN_INT8_MM_INT8_TO_INT32,1,1,2721790
128,128,1024,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,5533121
128,128,1024,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,3573152
128,128,1024,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,8006999
128,128,1024,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,2654708
128,128,1024,RKNN_INT4_MM_INT4_TO_INT16,0,1,15959748
128,128,1024,RKNN_INT4_MM_INT4_TO_INT16,1,1,8704655
128,128,2048,RKNN_INT8_MM_INT8_TO_INT32,0,0,5141711
128,128,2048,RKNN_INT8_MM_INT8_TO_INT32,0,1,8052789
128,128,2048,RKNN_INT8_MM_INT8_TO_INT32,1,0,17745304
128,128,2048,RKNN_INT8_MM_INT8_TO_INT32,1,1,10680665
128,128,2048,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,14759058
128,128,2048,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,8332036
128,128,2048,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,15733418
128,128,2048,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,9672972
128,128,2048,RKNN_INT4_MM_INT4_TO_INT16,0,1,24282617
128,128,2048,RKNN_INT4_MM_INT4_TO_INT16,1,1,9598432
128,128,4096,RKNN_INT8_MM_INT8_TO_INT32,0,0,9865094
128,128,4096,RKNN_INT8_MM_INT8_TO_INT32,0,1,17760178
128,128,4096,RKNN_INT8_MM_INT8_TO_INT32,1,0,21608951
128,128,4096,RKNN_INT8_MM_INT8_TO_INT32,1,1,13072752
128,128,4096,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,20273722
128,128,4096,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,17376351
128,128,4096,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,21337538
128,128,4096,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,13912281
128,128,4096,RKNN_INT4_MM_INT4_TO_INT16,0,1,29194873
128,128,4096,RKNN_INT4_MM_INT4_TO_INT16,1,1,17477266
128,128,8192,RKNN_INT8_MM_INT8_TO_INT32,0,0,21275123
128,128,8192,RKNN_INT8_MM_INT8_TO_INT32,0,1,22077944
128,128,8192,RKNN_INT8_MM_INT8_TO_INT32,1,0,27659189
128,128,8192,RKNN_INT8_MM_INT8_TO_INT32,1,1,20539551
128,128,8192,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,34682411
128,128,8192,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,20674174
128,128,8192,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,33752009
128,128,8192,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,22806515
128,128,8192,RKNN_INT4_MM_INT4_TO_INT16,0,1,50163125
128,128,8192,RKNN_INT4_MM_INT4_TO_INT16,1,1,26070797
128,256,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,2083634
128,256,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,2153924
128,256,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,1848262
128,256,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,1155857
128,256,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,1321813
128,256,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,1181815
128,256,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,1336979
128,256,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,1201064
128,256,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,1834554
128,256,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,1358853
128,256,128,RKNN_INT8_MM_INT8_TO_INT32,1,0,1670057
128,256,128,RKNN_INT8_MM_INT8_TO_INT32,1,1,1454519
128,256,128,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,2122133
128,256,128,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,1722848
128,256,128,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,2407087
128,256,128,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,2388421
128,256,128,RKNN_INT4_MM_INT4_TO_INT16,0,1,16438366
128,256,128,RKNN_INT4_MM_INT4_TO_INT16,1,1,3753690
128,256,256,RKNN_INT8_MM_INT8_TO_INT32,0,0,4746217
128,256,256,RKNN_INT8_MM_INT8_TO_INT32,0,1,2087134
128,256,256,RKNN_INT8_MM_INT8_TO_INT32,1,0,2900871
128,256,256,RKNN_INT8_MM_INT8_TO_INT32,1,1,2997411
128,256,256,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,3007328
128,256,256,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,2205257
128,256,256,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,3412155
128,256,256,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,2671333
128,256,256,RKNN_INT4_MM_INT4_TO_INT16,0,1,17133979
128,256,256,RKNN_INT4_MM_INT4_TO_INT16,1,1,4902256
128,256,512,RKNN_INT8_MM_INT8_TO_INT32,0,0,6901016
128,256,512,RKNN_INT8_MM_INT8_TO_INT32,0,1,7971416
128,256,512,RKNN_INT8_MM_INT8_TO_INT32,1,0,9936343
128,256,512,RKNN_INT8_MM_INT8_TO_INT32,1,1,3408946
128,256,512,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,4491596
128,256,512,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,4907506
128,256,512,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,8507699
128,256,512,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,3204783
128,256,512,RKNN_INT4_MM_INT4_TO_INT16,0,1,18054757
128,256,512,RKNN_INT4_MM_INT4_TO_INT16,1,1,7008056
128,256,1024,RKNN_INT8_MM_INT8_TO_INT32,0,0,6293484
128,256,1024,RKNN_INT8_MM_INT8_TO_INT32,0,1,5931824
128,256,1024,RKNN_INT8_MM_INT8_TO_INT32,1,0,11367529
128,256,1024,RKNN_INT8_MM_INT8_TO_INT32,1,1,4173976
128,256,1024,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,6930474
128,256,1024,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,6869809
128,256,1024,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,6751685
128,256,1024,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,5350832
128,256,1024,RKNN_INT4_MM_INT4_TO_INT16,0,1,17631847
128,256,1024,RKNN_INT4_MM_INT4_TO_INT16,1,1,4360348
128,256,2048,RKNN_INT8_MM_INT8_TO_INT32,0,0,10336504
