count,m,k,n,type,ac_native,b_native,time_ns,gops
0,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,212622,4.90566
1,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,96540,10.8333
2,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,87207,11.954
3,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,86332,12.093
4,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,84874,12.381
5,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,85165,12.2353
6,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,83416,12.5301
7,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,82540,12.6829
8,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,83124,12.5301
9,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,179080,5.81006
10,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,130373,8
11,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,83123,12.5301
12,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,83123,12.5301
13,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,80790,13
14,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,81957,12.8395
15,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,81665,12.8395
16,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,81957,12.8395
17,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,82249,12.6829
18,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,82832,12.6829
19,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,81374,12.8395
20,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,81957,12.8395
21,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,81957,12.8395
22,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,81082,12.8395
23,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,82540,12.6829
24,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,83415,12.5301
25,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,82540,12.6829
26,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,81665,12.8395
27,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,81665,12.8395
28,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,81665,12.8395
29,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,81082,12.8395
0,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,107040,9.71963
1,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,91290,11.4286
2,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,87207,11.954
3,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,90416,11.5556
4,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,89832,11.6854
5,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,86332,12.093
6,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,87791,11.954
7,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,86916,12.093
8,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,92456,11.3043
9,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,107915,9.71963
10,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,88082,11.8182
11,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,86623,12.093
12,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,83707,12.5301
13,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,84874,12.381
14,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,85457,12.2353
15,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,80790,13
16,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,80790,13
17,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,82248,12.6829
18,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,84874,12.381
19,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,85749,12.2353
20,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,97124,10.7216
21,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,86623,12.093
22,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,83999,12.5301
23,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,84873,12.381
24,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,86040,12.093
25,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,85749,12.2353
26,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,83416,12.5301
27,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,83123,12.5301
28,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,83124,12.5301
29,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,82540,12.6829
0,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,53666,19.6226
1,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,37624,28.1081
2,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,37041,28.1081
3,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,36750,28.8889
4,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,36457,28.8889
5,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,36458,28.8889
6,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,35583,29.7143
7,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,36458,28.8889
8,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,37041,28.1081
9,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,36458,28.8889
10,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,36750,28.8889
11,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,36166,28.8889
12,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,35874,29.7143
13,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,36458,28.8889
14,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,36458,28.8889
15,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,37041,28.1081
16,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,37041,28.1081
17,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,36750,28.8889
18,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,36458,28.8889
19,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,37333,28.1081
20,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,36458,28.8889
21,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,47541,22.1277
22,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,37333,28.1081
23,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,36750,28.8889
24,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,36166,28.8889
25,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,36458,28.8889
26,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,37333,28.1081
27,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,36749,28.8889
28,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,36458,28.8889
29,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,36749,28.8889
0,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,50458,20.8
1,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,48707,21.6667
2,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,36457,28.8889
3,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,36750,28.8889
4,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,36750,28.8889
5,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,36457,28.8889
6,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,36749,28.8889
7,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,37041,28.1081
8,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,36749,28.8889
9,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,36749,28.8889
10,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,36750,28.8889
11,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,35874,29.7143
12,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,37041,28.1081
13,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,36749,28.8889
14,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,36750,28.8889
15,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,36749,28.8889
16,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,36458,28.8889
17,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,36749,28.8889
18,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,36166,28.8889
19,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,36458,28.8889
20,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,36749,28.8889
21,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,36458,28.8889
22,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,37916,28.1081
23,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,35875,29.7143
24,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,36749,28.8889
25,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,36749,28.8889
26,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,36166,28.8889
27,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,36458,28.8889
28,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,35583,29.7143
29,128,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,36749,28.8889
0,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,79040,13.1646
1,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,65916,16
2,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,68540,15.2941
3,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,65916,16
4,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,66791,15.7576
5,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,67083,15.5224
6,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,67666,15.5224
7,128,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,69999,15.0725
