m,k,n,type,device,time_ns,gops,dtype
128,64,64,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,556225.71,1.885162769624583,torch.float16
128,64,128,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,1105685.07,1.8966992111053826,torch.float16
128,64,256,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,2222237.59,1.8874237475210742,torch.float16
128,64,512,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,4444142.67,1.8875649642453987,torch.float16
128,64,1024,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,15544092.62,1.079330676299071,torch.float16
128,64,2048,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,30921409.87,1.0851520723366033,torch.float16
128,64,4096,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,75010125.88,0.8946640631874114,torch.float16
128,64,8192,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,252107025.08,0.5323839268557046,torch.float16
128,128,64,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,1116587.43,1.8781798394416818,torch.float16
128,128,128,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,2217034.27,1.8918534804606335,torch.float16
128,128,256,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,4458661.55,1.8814184270165113,torch.float16
128,128,512,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,15294473.53,1.096946290246056,torch.float16
128,128,1024,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,30519412.06,1.0994455572746051,torch.float16
128,128,2048,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,104945636.22,0.6394631203084814,torch.float16
128,128,4096,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,159091105.79,0.8436532471976603,torch.float16
128,128,8192,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,418725797.87,0.6410769466927854,torch.float16
128,256,64,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,2204104.86,1.9029512053251405,torch.float16
128,256,128,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,4419835.55,1.8979457278676353,torch.float16
128,256,256,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,15328983.05,1.094476779397313,torch.float16
128,256,512,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,30490210.77,1.1004985256781155,torch.float16
128,256,1024,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,72184013.66,0.9296915008923599,torch.float16
128,256,2048,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,252144996.68,0.5323037528693746,torch.float16
128,256,4096,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,523298879.62,0.5129677636514868,torch.float16
128,256,8192,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,1222806433.58,0.43904815779240514,torch.float16
128,512,64,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,4401341.15,1.9059208805025258,torch.float16
128,512,128,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,15590916.01,1.076089178418966,torch.float16
128,512,256,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,30948076.52,1.0842170426428814,torch.float16
128,512,512,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,73421874.24,0.9140173101633969,torch.float16
128,512,1024,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,263260404.65,0.5098287688892679,torch.float16
128,512,2048,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,969741791.43,0.2768112691154208,torch.float16
128,512,4096,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,1500991498.94,0.35767751674752196,torch.float16
128,512,8192,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,5953642725.49,0.18035039613695134,torch.float16
128,1024,64,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,15737318.14,1.0660784671663248,torch.float16
128,1024,128,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,31636852.99,1.0606121920725213,torch.float16
128,1024,256,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,72837493.58,0.921350539420909,torch.float16
128,1024,512,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,292296245.92,0.45918389262082654,torch.float16
128,1024,1024,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,820689500.8,0.3270852810208146,torch.float16
128,1024,2048,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,2486281038.21,0.21593331717098266,torch.float16
128,1024,4096,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,5143008226.71,0.20877699911572498,torch.float16
128,1024,8192,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,10805067191.03,0.19874782914656633,torch.float16
128,2048,64,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,32814237.62,1.0225571103790891,torch.float16
128,2048,128,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,91952586.76,0.7298202950522411,torch.float16
128,2048,256,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,251468228.88,0.5337363236611825,torch.float16
128,2048,512,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,901061576.69,0.2979102238340723,torch.float16
128,2048,1024,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,2266926048.99,0.2368277131224444,torch.float16
128,2048,2048,FLOAT16_MM_FLOAT16_TO_FLOAT32,cpu,7312788740.65,0.1468306910100291,torch.float16
