count,m,k,n,type,ac_native,b_native,time_ns,gops
0,1,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,0,109374,0.0733945
0,1,64,64,RKNN_INT8_MM_INT8_TO_INT32,0,1,40249,0.2
0,1,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,0,42291,0.190476
0,1,64,64,RKNN_INT8_MM_INT8_TO_INT32,1,1,52500,0.153846
0,1,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,39374,0.205128
0,1,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,57749,0.140351
0,1,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,71166,0.112676
0,1,64,64,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,125123,0.064
0,1,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,0,67374,0.238806
0,1,64,128,RKNN_INT8_MM_INT8_TO_INT32,0,1,228663,0.0701754
0,1,64,128,RKNN_INT8_MM_INT8_TO_INT32,1,0,54833,0.296296
0,1,64,128,RKNN_INT8_MM_INT8_TO_INT32,1,1,36457,0.444444
0,1,64,128,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,35874,0.457143
0,1,64,128,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,41708,0.390244
0,1,64,128,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,35291,0.457143
0,1,64,128,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,35874,0.457143
0,1,64,128,RKNN_INT4_MM_INT4_TO_INT16,0,1,32958,0.5
0,1,64,128,RKNN_INT4_MM_INT4_TO_INT16,1,1,33541,0.484848
0,1,64,256,RKNN_INT8_MM_INT8_TO_INT32,0,0,36749,0.888889
0,1,64,256,RKNN_INT8_MM_INT8_TO_INT32,0,1,37916,0.864865
0,1,64,256,RKNN_INT8_MM_INT8_TO_INT32,1,0,36749,0.888889
0,1,64,256,RKNN_INT8_MM_INT8_TO_INT32,1,1,36166,0.888889
0,1,64,256,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,41124,0.780488
0,1,64,256,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,38791,0.842105
0,1,64,256,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,40249,0.8
0,1,64,256,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,38207,0.842105
0,1,64,256,RKNN_INT4_MM_INT4_TO_INT16,0,1,34416,0.941176
0,1,64,256,RKNN_INT4_MM_INT4_TO_INT16,1,1,32957,1
0,1,64,512,RKNN_INT8_MM_INT8_TO_INT32,0,0,43166,1.51163
0,1,64,512,RKNN_INT8_MM_INT8_TO_INT32,0,1,44333,1.47727
0,1,64,512,RKNN_INT8_MM_INT8_TO_INT32,1,0,41707,1.58537
0,1,64,512,RKNN_INT8_MM_INT8_TO_INT32,1,1,44332,1.47727
0,1,64,512,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,0,93624,0.698925
0,1,64,512,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,0,1,58624,1.12069
0,1,64,512,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,0,53957,1.22642
0,1,64,512,RKNN_FLOAT16_MM_FLOAT16_TO_FLOAT32,1,1,53375,1.22642
0,1,64,512,RKNN_INT4_MM_INT4_TO_INT16,0,1,57457,1.14035
0,1,64,512,RKNN_INT4_MM_INT4_TO_INT16,1,1,92165,0.706522
0,1,64,1024,RKNN_INT8_MM_INT8_TO_INT32,0,0,72624,1.80556
